datetime,phone,msg,result,feedback
2025-06-28T23:00:57.383845,088888888828282,โอนเงินมา 10000 บาท,scam,
2025-06-29T22:02:15.424902,0891238123,โอนเงินมา 1000000 บาท,scam,
2025-06-29T22:04:57.065694,0897867623,askjdashjkdshkad,blacklist,
2025-06-29T22:05:28.409128,0982903849032,สวัสดีติดต่อจากเจ้าหน้าที่ตํารวจถ้าไม่ไปพบที่สภ.สระแก้วกรุณาแอดไลน์,scam,
2025-06-29T22:15:18.046817,0982394824,โอนเงินม่า 100000 บาท,scam,
2025-07-26T08:47:04.729833,0825469539,กรุณาโอนมาเงิน 1000 บาท,scam,
2025-10-20T21:36:48.883544,09848392922,คุณมีพัศดุตกข้างกรุณาโอนเงินมารก,scam,
2025-10-21T22:36:09.766582,0935418893,กรุณาโอนเงิน 250 บาทเพื่อเป็นค่าดำเนินการ,scam,
2025-10-22T20:26:49.077995,0897542222,โอนเงินมา 800000 บาทเพื่อภอนการแจ่งความ,official,list_check
2025-10-22T20:26:53.373628,021893709128903,โอนเงินมา 800000 บาทเพื่อภอนการแจ่งความ,scam,
2025-10-22T20:32:10.946069,ตๅจ/ค/ๅคจต/คๅจคๅ/ตจ,โอนเงิอน มา 10000 บาทเพื่อถอนคดีความ,scam,
2025-10-22T20:47:06.905350,089127381273,กรุณาโอนเงินมา 1000000 บาท,scam,list_check
2025-10-22T20:53:55.561980,9781232139,กรุณาโอนเงินมา 10000 บาทเป็นค่าดําเนินการด้วยครับ,scam,list_check
2025-10-22T21:25:48.646745,098979867567,ติดต่อมาจากศูนย์ apple กรุณาโอนเงินค่าดําเนินการขนส่งมาเพิ่ม 30000 บาท,scam,list_check
2025-10-22T21:57:01.752967,129839082190381,"print(""hello world ufck you"")",normal,list_check
2025-10-22T21:57:27.213506,17293871239971,import os import skibidi,normal,list_check
2025-10-25T23:55:33.831852,08973839292,สวัสดีครับผมเป็นตํารวจจากสภ.เชียงใหม่ถ้าคุณไม่อยากโดนอายัดทรัพย์กรุณาโอนเงินมาที่บัญชร -----x----xx เพื่อเป็นค่าดําเนินการด้วยครับ,scam,
